,x,y,z
614,1.85948,1.88386,0.3658
615,1.87167,1.8351,0.3658
616,1.87167,1.84729,0.3658
617,1.87167,1.85948,0.3658
618,1.87167,1.87167,0.3658
619,1.87167,1.88386,0.3658
620,1.88386,1.8351,0.3658
621,1.88386,1.84729,0.3658
622,1.88386,1.85948,0.3658
623,1.88386,1.87167,0.3658
624,1.88386,1.88386,0.3658
