vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,38,1,0.076,0,1.45245,3.37422,-0.234619,3.68104,0,2,8.2,124,1.45245,3.37422,-0.234619,3.68104,0,2,8.2,124,1.45245,3.37422,-0.234619,3.68104,0,2,8.2,124,1.45245,3.37422,-0.234619,3.68104,0,2,8.2,124,1.45245,3.37422,-0.234619,3.68104,0,2,8.2,124,1.45245,3.37422,-0.234619,3.68104,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,39,1,0.078,0,1.55218,3.12568,-0.109876,3.49159,0,2,8.2,124,1.55218,3.12568,-0.109876,3.49159,0,2,8.2,124,1.55218,3.12568,-0.109876,3.49159,0,2,8.2,124,1.55218,3.12568,-0.109876,3.49159,0,2,8.2,124,1.55218,3.12568,-0.109876,3.49159,0,2,8.2,124,1.55218,3.12568,-0.109876,3.49159,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,40,1,0.08,0,1.29218,2.73553,0.074683,3.02628,0,2,8.2,124,1.29218,2.73553,0.074683,3.02628,0,2,8.2,124,1.29218,2.73553,0.074683,3.02628,0,2,8.2,124,1.29218,2.73553,0.074683,3.02628,0,2,8.2,124,1.29218,2.73553,0.074683,3.02628,0,2,8.2,124,1.29218,2.73553,0.074683,3.02628,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,41,1,0.082,0,0.668806,2.3259,0.0502202,2.42067,0,2,8.2,124,0.668806,2.3259,0.0502202,2.42067,0,2,8.2,124,0.668806,2.3259,0.0502202,2.42067,0,2,8.2,124,0.668806,2.3259,0.0502202,2.42067,0,2,8.2,124,0.668806,2.3259,0.0502202,2.42067,0,2,8.2,124,0.668806,2.3259,0.0502202,2.42067,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,42,1,0.084,0,-0.111077,2.09471,-0.244451,2.11184,0,2,8.2,124,-0.111077,2.09471,-0.244451,2.11184,0,2,8.2,124,-0.111077,2.09471,-0.244451,2.11184,0,2,8.2,124,-0.111077,2.09471,-0.244451,2.11184,0,2,8.2,124,-0.111077,2.09471,-0.244451,2.11184,0,2,8.2,124,-0.111077,2.09471,-0.244451,2.11184,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,43,1,0.086,0,-0.7967,2.10941,-0.626796,2.34034,0,2,8.2,124,-0.7967,2.10941,-0.626796,2.34034,0,2,8.2,124,-0.7967,2.10941,-0.626796,2.34034,0,2,8.2,124,-0.7967,2.10941,-0.626796,2.34034,0,2,8.2,124,-0.7967,2.10941,-0.626796,2.34034,0,2,8.2,124,-0.7967,2.10941,-0.626796,2.34034,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,44,1,0.088,0,-1.26111,2.22239,-0.880879,2.70285,0,2,8.2,124,-1.26111,2.22239,-0.880879,2.70285,0,2,8.2,124,-1.26111,2.22239,-0.880879,2.70285,0,2,8.2,124,-1.26111,2.22239,-0.880879,2.70285,0,2,8.2,124,-1.26111,2.22239,-0.880879,2.70285,0,2,8.2,124,-1.26111,2.22239,-0.880879,2.70285,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,45,1,0.09,0,-1.5338,2.23046,-0.953579,2.86998,0,2,8.2,124,-1.5338,2.23046,-0.953579,2.86998,0,2,8.2,124,-1.5338,2.23046,-0.953579,2.86998,0,2,8.2,124,-1.5338,2.23046,-0.953579,2.86998,0,2,8.2,124,-1.5338,2.23046,-0.953579,2.86998,0,2,8.2,124,-1.5338,2.23046,-0.953579,2.86998,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,46,1,0.092,0,-1.71078,2.09304,-0.944256,2.86342,0,2,8.2,124,-1.71078,2.09304,-0.944256,2.86342,0,2,8.2,124,-1.71078,2.09304,-0.944256,2.86342,0,2,8.2,124,-1.71078,2.09304,-0.944256,2.86342,0,2,8.2,124,-1.71078,2.09304,-0.944256,2.86342,0,2,8.2,124,-1.71078,2.09304,-0.944256,2.86342,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,47,1,0.094,0,-1.86491,1.94943,-0.962836,2.86448,0,2,8.2,124,-1.86491,1.94943,-0.962836,2.86448,0,2,8.2,124,-1.86491,1.94943,-0.962836,2.86448,0,2,8.2,124,-1.86491,1.94943,-0.962836,2.86448,0,2,8.2,124,-1.86491,1.94943,-0.962836,2.86448,0,2,8.2,124,-1.86491,1.94943,-0.962836,2.86448,0,2,8.2,124,0,0,0,0,0,0,0,0,1
